id,company,role,link,deadline,amount,location,type,date_added,notes
autodesk-expdesign-2026,Autodesk,Autodesk Experience Design Intern,https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/San-Francisco-CA-USA/Intern--Experience-Design_25WD91782-1?q=intern&src=JB-10065&source=LinkedIn,2026-03-01,$35/hr,"San Francisco, CA",Paid,2025-10-21,"Assist product teams in creating intuitive user experiences and wireframes"
autodesk-visualdesign-2026,Autodesk,Autodesk Visual Design Intern,https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/San-Francisco-CA-USA/Intern--Visual-Design_25WD91784-1?q=intern&src=JB-10065&source=LinkedIn,2026-03-01,$34/hr,"San Francisco, CA",Paid,2025-10-21,"Support brand and product visuals with UI graphics and motion concepts"
figma-softwareeng-2026,Figma,Figma Software Engineer Intern (2026),https://job-boards.greenhouse.io/figma/jobs/5602159004?gh_jid=5602159004&gh_src=28109e334us&source=LinkedIn,2026-02-28,$45/hr,"San Francisco, CA; New York, NY",Paid,2025-10-21,"Contribute to core product, platform, or infrastructure systems powering Figma"
figma-productdesign-2026,Figma,Figma Product Design Intern (2026),https://job-boards.greenhouse.io/figma/jobs/5616453004?gh_jid=5616453004&gh_src=28109e334us&source=LinkedIn,2026-02-28,$44/hr,"San Francisco, CA; New York, NY",Paid,2025-10-21,"Design and prototype user experiences across Figma’s collaboration products"
nvidia-swengineering-2026,NVIDIA,NVIDIA Software Engineering Intern,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/NVIDIA-2026-Internships--Software-Engineering-_JR2003206?source=jobboardlinkedin,2026-04-30,$46/hr,"Santa Clara, CA",Paid,2025-10-21,"Contribute to system-level software projects within NVIDIA’s engineering teams"
nvidia-graphicdesign-2026,NVIDIA,NVIDIA Graphic Design Intern,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Graphic-Design-Intern---Summer-2026_JR2004830?source=jobboardlinkedin,2026-04-30,$40/hr,"Santa Clara, CA",Paid,2025-10-21,"Design visual and branding materials for NVIDIA events and internal initiatives"
garmin-mechanical-2026,Garmin,Mechanical Engineering Intern,https://careers.garmin.com/jobs/16812?lang=en-us,2026-03-15,$32/hr,"Olathe, KS",Paid,2025-10-21,"Assist mechanical engineers with 3D modeling, prototyping, and testing"
garmin-softwareeng-tulsa-2026,Garmin,Software Engineering Intern,https://careers.garmin.com/jobs/16863?lang=en-us,2026-03-15,$33/hr,"Tulsa, OK",Paid,2025-10-21,"Develop software features and learn test/release practices for Garmin products"
garmin-design-electrical-olathe-2026,Garmin,Design Engineer Intern - Electrical,https://careers.garmin.com/jobs/16890?lang=en-us,2026-03-15,$33/hr,"Olathe, KS",Paid,2025-10-21,"Assist with electronic design and validation for Garmin devices"
garmin-software-embedded-olathe-2026,Garmin,Software Engineer Intern - Embedded,https://careers.garmin.com/jobs/16828?lang=en-us,2026-03-15,$33/hr,"Olathe, KS",Paid,2025-10-21,"Write embedded C/C++ for Garmin hardware; unit test and maintenance"
garmin-component-2026,Garmin,Component Engineering Intern,https://careers.garmin.com/jobs/17076?lang=en-us,2026-03-15,$32/hr,"Olathe, KS",Paid,2025-10-21,"Support component selection, supplier data, and part lifecycle analysis"
garmin-softwareeng-tucson-2026,Garmin,Software Engineering Intern,https://careers.garmin.com/jobs/17121?lang=en-us,2026-03-15,$33/hr,"Tucson, AZ",Paid,2025-10-21,"Implement and test software features for Garmin teams in Tucson"
garmin-design-electrical-tucson-2026,Garmin,Design Engineer Intern - Electrical,https://careers.garmin.com/jobs/17220?lang=en-us,2026-03-15,$33/hr,"Tucson, AZ",Paid,2025-10-21,"Design and develop electronic circuits; lab testing and validation"
garmin-softwareeng-yarmouth-2026,Garmin,Software Engineering Intern,https://careers.garmin.com/jobs/17060?lang=en-us,2026-03-15,$32/hr,"Yarmouth, ME",Paid,2025-10-21,"Contribute to software development for Garmin’s marine/outdoor products"
oracle-softwareeng-2026,Oracle,Software Engineer Intern,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/306133?utm_medium=jobboard&utm_source=LinkedIn,2026-03-15,$38/hr,"Austin, TX",Paid,2025-10-25,"Work with Oracle’s cloud engineering team to develop and maintain scalable enterprise applications."
statestreet-mlengineer-2026,State Street,Software Engineering / ML Data Engineer Intern,https://statestreet.wd1.myworkdayjobs.com/Global/job/Quincy-Massachusetts/Software-Engineering---ML-Data-Engineer--Internship--Full-Time--Jan---June-2026--Internship_R-779528?source=APPLICANT_SOURCE-LINKEDIN,2026-03-10,$36/hr,"Quincy, MA",Paid,2025-10-25,"Assist in developing data-driven tools and machine learning models for financial data processing."
nytimes-softwareeng-2026,The New York Times,Software Engineering Intern,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4624816005,2026-03-01,$40/hr,"New York, NY",Paid,2025-10-25,"Build and optimize newsroom applications and backend systems that support millions of readers daily."
ericsson-softwareeng-2026,Ericsson,Software Engineer Intern,https://jobs.ericsson.com/careers/job/563121772252795?domain=ericsson.com&jobPipeline=LinkedIn,2026-03-20,$37/hr,"Plano, TX",Paid,2025-10-25,"Develop software tools and network optimization solutions for 5G and IoT systems."
oraclecloud-softwareeng-2026,Oracle Cloud Infrastructure,Software Engineer Intern,https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1056?utm_medium=jobboard&utm_source=linkedin,2026-03-15,$38/hr,"Redwood City, CA",Paid,2025-10-25,"Support Oracle Cloud Infrastructure teams in developing secure and reliable cloud systems."
schneider-softwareeng-2026,Schneider Electric,Software Engineer Intern,https://careers.se.com/jobs/100928?lang=en-us&iis=Job+Board&iisn=linkedin&src=linkedin,2026-03-10,$36/hr,"Boston, MA",Paid,2025-10-25,"Assist with software automation, system integration, and energy efficiency solutions within Schneider’s R&D division."
siemens-softwareeng-2026,Siemens,Software Engineer Intern,https://jobs.siemens.com/en_US/externaljobs/JobDetail/478886?source=LinkedIn&sourceType=PREMIUM_POST_SITE,2026-03-20,$38/hr,"Plano, TX",Paid,2025-10-25,"Support industrial automation software development and testing within Siemens Digital Industries team."
coadvantage-softwareeng-2026,Coadvantage,Software Engineer Intern,https://coadvantage.exacthire.com/job/187834?source=LinkedIn,2026-03-10,$34/hr,"Tampa, FL",Paid,2025-10-25,"Assist with building internal HR and payroll software tools using modern frameworks."
lensa-cybersecurity-2026,Lensa,Cybersecurity Intern,https://lensa.com/job-application-cybersecurity-intern-in-santa-fe-nm/cpc-jd-v3/d08debaac46b6bb69148e98756ddc8b24eec803e00b10f7ea80c6a86b6940b0d?tr=402851de36ed4ee5a3b54eb5b5266cdaincc1&utm_source=linkedin&utm_medium=slot&utm_campaign=Computer+Occupations&utm_term=jse,2026-03-01,$32/hr,"Santa Fe, NM",Paid,2025-10-25,"Assist cybersecurity team with vulnerability scanning, threat analysis, and incident reporting."
graco-cybersecurity-2026,Graco,Cybersecurity Intern,https://graco.wd501.myworkdayjobs.com/Graco_Careers/job/Minneapolis-Minnesota-USA-Tech-Center/Cybersecurity-Intern_R0021286?source=LinkedIn,2026-03-15,$35/hr,"Minneapolis, MN",Paid,2025-10-25,"Support security operations by monitoring systems, analyzing logs, and improving security configurations."
dorman-cybersecurity-2026,Dorman Products,Cybersecurity Intern,https://jobs.dormanproducts.com/job/Colmar-Cyber-Security-Intern-PA-18915/1339532300/?utm_source=LINKEDIN&utm_medium=referrer,2026-03-15,$33/hr,"Colmar, PA",Paid,2025-10-25,"Assist with internal network defense, endpoint protection, and compliance reporting."
statestreet-aisecurity-2026,State Street,AI Cybersecurity Co-op,https://statestreet.wd1.myworkdayjobs.com/Global/job/Quincy-Massachusetts/AI-Cyber-Security-in-Information-Security-Risk-Management-Program--Co-Op_R-778253?source=APPLICANT_SOURCE-LINKEDIN,2026-03-10,$36/hr,"Quincy, MA",Co-op,2025-10-25,"Work with AI-driven cybersecurity tools and data analysis for risk management and compliance."
meta-aiintern-2026,Meta,AI Software Engineer Intern,https://www.metacareers.com/jobs/1993387314912727/?rx_campaign=Linkedin1&rx_ch=connector&rx_group=126320&rx_id=49cbad3c-935a-11f0-ad3e-4303017d6c7a&rx_job=a1KDp00000E2e7zMAB&rx_medium=post&rx_r=none&rx_source=Linkedin&rx_ts=20251101T001202Z&rx_vp=slots&utm_campaign=Job%2Bboard&utm_medium=jobs&utm_source=LIpaid&rx_viewer=0e97d74a862111f09ec9b9f405120a7175998e831b344f4fb3753aa8da2475f8,2026-03-20,$52/hr,"Menlo Park, CA",Paid,2025-10-25,"Contribute to generative AI systems and model optimization within Meta’s research and engineering teams."
transperfect-data-2026,TransPerfect,Data Collection Intern (Orchid Audio Project),https://dataforcecommunity.transperfect.com/project/orchid-audio-collection-us?/fill?id313=DF027,2026-03-15,$28/hr,Remote,Paid,2025-10-25,"Contribute to TransPerfect’s data collection for AI voice models by recording and labeling audio samples."
lensa-dataanalytics-2026,Lensa,IT & Data Analytics Intern,https://lensa.com/job-application-it-data-analytics-intern-remote-in-santa-fe-nm/cpc-jd-v3/8ac050503c61816af46091385091aa6b35db21a0ead5ccef66ecb04149c5472a?tr=b4f096c6aeeb403fb9f2dbeb755a85c9incc1&utm_source=linkedin&utm_medium=slot&utm_campaign=Computer+Occupations&utm_term=jse,2026-03-10,$32/hr,Remote,Paid,2025-10-25,"Assist in developing data dashboards and analytics reports to support IT operations."
boozallen-data-2026,Booz Allen Hamilton,Data Analytics Intern,https://careers.boozallen.com/careers/JobDetail?jobId=117440&source=JB-16500,2026-03-20,$38/hr,"Washington, DC",Paid,2025-10-25,"Support client projects by analyzing datasets, creating visualizations, and developing AI/ML prototypes."
northwesternmutual-data-2026,Northwestern Mutual,Performance Data Analytics Intern,https://careers.northwesternmutual.com/corporate-careers/jr-44119/performance-data-analytics-internship/?source=LinkedIn,2026-03-31,$34/hr,"Milwaukee, WI",Paid,2025-10-25,"Analyze operational and financial data to improve business performance metrics and reporting accuracy."
disney-data-2026,Disney,Data Analytics Intern,https://www.disneycareers.com/en/job/-/-/391/87858074032,2026-04-15,$38/hr,"Burbank, CA",Paid,2025-10-25,"Work with Disney’s data team to deliver insights from consumer data, digital engagement, and marketing analytics."
arch-database-2026,Arch Group,Database Engineering Intern,https://archgroup.wd1.myworkdayjobs.com/Careers/job/Greensboro-NC-United-States-of-America/Database-Engineering-Summer-Intern_R25_712?source=LinkedIn,2026-03-20,$35/hr,"Greensboro, NC",Paid,2025-10-25,"Assist in building and optimizing database schemas, queries, and automation pipelines within Arch’s engineering team."
disney-product-2026,Disney,Product Management Intern,https://www.disneycareers.com/en/job/-/-/391/87839797536,2026-04-15,$40/hr,"Burbank, CA",Paid,2025-10-25,"Support Disney streaming and digital product teams with feature planning, user stories, and roadmap coordination."
globalfoundries-producteng-2026,GlobalFoundries,Product Management Engineering Intern,https://globalfoundries.wd1.myworkdayjobs.com/External/job/USA---New-York---Malta/Product-Management-Engineering-Intern--Summer-2026-_JR-2502856?source=LinkedIn,2026-03-20,$37/hr,"Malta, NY",Paid,2025-10-25,"Work cross-functionally with engineering and business teams to align semiconductor product goals and manufacturing timelines."
mongodb-product-2026,MongoDB,Product Management Intern,https://www.mongodb.com/careers/jobs/7336099,2026-03-31,$45/hr,"New York, NY",Paid,2025-10-25,"Assist in defining product strategy and customer experience improvements for MongoDB’s cloud database platform."
adzuna-product-2026,Adzuna,Product Management Intern,https://www.adzuna.com/details/5391568045?v=EACB0CD18E4655D39347A60D7CCD6B8B77A12D07&frd=6c3433f2ceefe44c1c257607402873fc&ccd=98b5bb2fa8ce47aea76a41a3d3a4458c&r=20549562&utm_source=linkedin7&utm_medium=organic&chnlid=1931&title=Product%20Management%20Intern&a=e,2026-03-15,$34/hr,Remote,Paid,2025-10-25,"Support product lifecycle planning and A/B testing for Adzuna’s job search platform."
ahlstrom-product-2026,Ahlstrom,Product Management Intern,https://career5.successfactors.eu/career?career_ns=job_listing&company=Ahlstrom&navBarLevel=JOB_SEARCH&rcm_site_locale=en_US&career_job_req_id=5385,2026-03-10,$30/hr,"Chicago, IL",Paid,2025-10-25,"Assist in market research, data reporting, and new product introduction processes within the materials innovation team."
activision-product-2026,Activision Blizzard,Product Management Specialist Intern,https://careers.activisionblizzard.com/job/ACCOUSR026099EXTERNAL/Product-Management-Specialist?utm_source=linkedin&utm_medium=phenom-feeds,2026-04-10,$42/hr,"Santa Monica, CA",Paid,2025-10-25,"Collaborate with game production and analytics teams to deliver new in-game features and performance tracking tools."
motorola-industrial-2026,Motorola Solutions,Industrial Engineer Intern (Continuous Improvement),https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/job/Elgin-IL/Industrial-Engineer--Continuous-Improvement-Summer-Internship-2026_R57592/apply/autofillWithResume,2026-04-15,$32/hr,"Elgin, IL",Paid,2025-10-25,"Support lean manufacturing and process optimization projects within Motorola’s production facilities."
boeing-manufacturing-2026,Boeing,Manufacturing Engineering Intern,https://jobs.boeing.com/job/-/-/185/87879928752?utm_source=linkedin&utm_medium=job_posting&utm_campaign=ra-us,2026-04-10,$35/hr,"Seattle, WA",Paid,2025-10-25,"Assist Boeing’s engineering team with manufacturing design, tooling support, and continuous improvement initiatives."
siemens-electricaldesign-2026,Siemens,Electrical Design Engineering Intern,https://jobs.siemens.com/en_US/externaljobs/JobDetail/474589?source=LinkedIn&sourceType=PREMIUM_POST_SITE,2026-03-30,$34/hr,"Norcross, GA",Paid,2025-10-25,"Collaborate with Siemens design engineers to develop and test electrical control systems and automation solutions."
quartus-mechanical-2026,Quartus Engineering,Mechanical Design Intern,https://quartus.hire.trakstar.com/jobs/fk0zw6q/,2026-03-15,$33/hr,"San Diego, CA",Paid,2025-10-25,"Support mechanical design and CAD modeling projects for aerospace and defense clients."
blueorigin-manufacturing-2026,Blue Origin,Manufacturing Engineer Intern,https://blueorigin.wd5.myworkdayjobs.com/en-US/BlueOrigin/job/Van-Horn-TX/Manufacturing-Engineer-I---Early-Career_R52967?source=LinkedIn,2026-04-15,$40/hr,"Van Horn, TX",Paid,2025-10-25,"Work with Blue Origin’s propulsion manufacturing team to support production and testing operations for reusable rockets."
honeywell-industrial-2026,Honeywell,Industrial Engineer Intern,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/122777?utm_medium=jobboard&utm_source=linkedin,2026-03-20,$34/hr,"Phoenix, AZ",Paid,2025-10-25,"Contribute to Honeywell’s process optimization, logistics, and automation initiatives across manufacturing sites."
thermofisher-systemsdesign-2026,Thermo Fisher Scientific,System Design Engineer Intern,https://jobs.thermofisher.com/global/en/job/R-01328142/System-Design-Engineer-Intern?rx_ch=jobpost&rx_id=36031aad-b605-11f0-85c3-3de8fecc3d4d&rx_job=R-01328142_rxr-1&rx_medium=post&rx_paid=0&rx_r=none&rx_source=linkedin&rx_ts=20251101T024002Z&rx_vp=linkedindirectindex&utm_medium=post&utm_source=recruitics_linkedindirectindex&refId=34jd24&rx_viewer=0e97d74a862111f09ec9b9f405120a7175998e831b344f4fb3753aa8da2475f8,2026-03-25,$38/hr,"Waltham, MA",Paid,2025-10-25,"Assist in design verification and validation for Thermo Fisher’s life sciences instrumentation systems."
spectrum-rdengineer-2026,Spectrum,R&D Engineer Intern,https://jobs.spectrum.com/job/-/-/4673/85915256944?utm_source=linkedIn&utm_medium=job-listings&utm_campaign=brand&utm_term=RD-TA,2026-04-05,$36/hr,"Greenwood Village, CO",Paid,2025-10-25,"Support Spectrum’s hardware and network engineering R&D projects, including testing and analysis of broadband systems."
mhs-industrialcoop-2026,MHS Global,Industrial Engineer Co-Op,https://mhs.wd1.myworkdayjobs.com/Careers/job/Mount-Washington-Kentucky-USA/Industrial-Engineer-Co-Op_R8451?source=LinkedIn,2026-03-10,$30/hr,"Mount Washington, KY",Paid,2025-10-25,"Assist with warehouse systems design, automation layout, and continuous improvement initiatives in logistics operations."
burnsmcd-electrical-2026,Burns & McDonnell,Electrical Engineering Intern (Transmission & Distribution Substation),https://burnsmcd.jobs/san-juan-pr/electrical-engineering-intern-transmission-distribution-substation-san-juan/54C78B6E88514B64A37875B1D7F456B5/job/?vs=1606&utm_source=LinkedIn.com-DE&utm_medium=Social+Media&utm_campaign=LinkedIn.com,2026-03-31,$32/hr,"San Juan, PR",Paid,2025-10-25,"Assist electrical engineers in the design and analysis of transmission and distribution substation systems for Burns & McDonnell clients."
skyworks-testeng-2026,Skyworks,Test Engineering Intern (Summer 2026),https://careers.skyworksinc.com/job/Austin-Summer-Intern-2026-Test-Engineering-TX-73301/1327352600/?feedId=177000&utm_source=LinkedInJobPostings&utm_campaign=Skyworks_LinkedIn,2026-03-20,$34/hr,"Austin, TX",Paid,2025-10-25,"Support validation, data analysis, and hardware test development for RF components at Skyworks."
cloudflare-hardwareeng-2026,Cloudflare,Hardware Engineering Intern,https://job-boards.greenhouse.io/cloudflare/jobs/7190684?gh_jid=7190684&gh_src=5ylsd31&source=LinkedIn,2026-03-25,$40/hr,"Austin, TX",Paid,2025-10-25,"Collaborate with Cloudflare’s hardware team to improve data-center reliability and performance testing systems."
analogdevices-reliability-2026,Analog Devices,Reliability Hardware & Systems Engineering Co-Op,https://analogdevices.wd1.myworkdayjobs.com/External/job/US-MA-Wilmington/XMLNAME--Co-Op----Reliability-Hardware-and-Systems-Engineering_R257804?source=Linkedin,2026-04-01,$35/hr,"Wilmington, MA",Paid,2025-10-25,"Conduct reliability analysis and environmental testing on analog and digital semiconductor systems."
gevernova-electrical-2026,GE Vernova,Electrical Engineer I/C Technology Intern,https://careers.gevernova.com/global/en/job/GVXGVWGLOBALR5023746EXTERNALENGLOBAL/Electrical-Engineer-I-C-Technology?utm_source=linkedin&utm_medium=phenom-feeds,2026-03-31,$37/hr,"Schenectady, NY",Paid,2025-10-25,"Work with GE Vernova’s power systems team on circuit design, modeling, and renewable-energy integration."
hdr-electricaldesign-2026,HDR,Electrical Design Intern,https://hdr.taleo.net/careersection/ex/jobdetail.ftl?job=188085&lang=en&src=SNS-10025,2026-04-10,$33/hr,"Dallas, TX",Paid,2025-10-25,"Assist in developing power distribution and lighting plans for transportation and water infrastructure projects."
aes-engineercoop-2026,AES Corporation,Engineer Co-Op / Intern (Summer 2026),https://aes.wd1.myworkdayjobs.com/AES_US/job/US-Dayton-OH/Intern-Co-Op-Engineer---Summer-2026_R1061453?source=LinkedIn,2026-04-05,$34/hr,"Dayton, OH",Paid,2025-10-25,"Support energy generation and storage projects while learning about grid systems and renewable operations."
gevernova-manufacturing-2026,GE Vernova,Manufacturing Engineer Intern (Turbine Assembly),https://careers.gevernova.com/global/en/job/GVXGVWGLOBALR5023144EXTERNALENGLOBAL/Manufacturing-Engineer-Turbine-Assembly?utm_source=linkedin&utm_medium=phenom-feeds,2026-04-10,$36/hr,"Greenville, SC",Paid,2025-10-25,"Assist in the assembly, testing, and quality improvement of turbine components for GE Vernova’s power generation division."
milliken-process-2026,Milliken & Company,Process Engineering Intern,https://careers.milliken.com/job/Gainesville-Laurel-Plant-Process-Engineering-Intern-FL-32609/1333538200/,2026-03-20,$33/hr,"Gainesville, FL",Paid,2025-10-25,"Support process optimization and quality improvement at Milliken’s Gainesville manufacturing facility."
veolia-process-2026,Veolia,Process Engineer Intern (Evaporation & Crystallization),https://jobs.smartrecruiters.com/VeoliaEnvironnementSA/744000091090922-process-engineer-evaporation-and-crystallization?trid=2d92f286-613b-4daf-9dfa-6340ffbecf73,2026-03-31,$34/hr,"Boston, MA",Paid,2025-10-25,"Assist Veolia’s process engineering team with evaporation and crystallization design and simulation projects."
dow-rdgrad-2026,Dow,Campus Graduate – Research & Development (BS/MS),https://dow.wd1.myworkdayjobs.com/ExternalCareers/job/Midland-MI-USA/XMLNAME-2025-2026-Campus-Graduate---Research---Development--BS-MS-_R2060619?src=JB-14000&source=Linkedin,2026-03-30,$36/hr,"Midland, MI",Paid,2025-10-25,"Conduct R&D experiments supporting material science and chemical process innovations across Dow divisions."
aksteel-chemical-2026,Cleveland-Cliffs (AK Steel),Chemical Engineering Intern,https://aksteel.wd1.myworkdayjobs.com/careers/job/Tilden-Mine/Chemical-Engineering-Intern_R11151/apply,2026-04-01,$32/hr,"Ishpeming, MI",Paid,2025-10-25,"Support process control, testing, and production quality for Cleveland-Cliffs mining and steel operations."
meta-materials-2026,Meta,Materials Engineering Intern,https://www.metacareers.com/jobs/670130388923887/?rx_campaign=Linkedin1&rx_ch=connector&rx_group=126320&rx_id=02867ef9-94b7-11f0-bcc9-a19e9fd32f2d&rx_job=a1KDp00000E2eCVMAZ_1001&rx_medium=post&rx_r=none&rx_source=Linkedin&rx_ts=20251101T001202Z&rx_vp=slots&utm_campaign=Job%2Bboard&utm_medium=jobs&utm_source=LIpaid&rx_viewer=0e97d74a862111f09ec9b9f405120a7175998e831b344f4fb3753aa8da2475f8,2026-03-31,$45/hr,"Menlo Park, CA",Paid,2025-10-25,"Work with Meta’s materials innovation team to prototype and analyze new composites for hardware products."
ppg-aerospace-2026,PPG Industries,Aerospace Process Engineer Intern,https://careers.ppg.com/us/en/job/PIIPIIUSJR2511946EXTERNALENUS/Aerospace-Process-Engineer?utm_source=linkedin&utm_medium=phenom-feeds,2026-03-31,$34/hr,"Pittsburgh, PA",Paid,2025-10-25,"Assist PPG’s aerospace coatings team with process improvement and quality assurance in production environments."
syensqo-chemeng-2026,Syensqo,Chemical Engineering Intern,https://www.syensqo.com/en/career/job-opportunities/32210,2026-04-05,$36/hr,"Baton Rouge, LA",Paid,2025-10-25,"Support manufacturing operations by optimizing polymerization and process safety systems at Syensqo’s chemical facilities."
chemours-coop-2026,Chemours,Chemical Engineer Co-Op (Spring 2026),https://chemours.wd103.myworkdayjobs.com/Chemours/job/US---TX---La-Porte/Chemical-Engineer-Spring-Co-op_JR13585?source=LinkedIn,2026-04-10,$35/hr,"La Porte, TX",Paid,2025-10-25,"Work alongside process engineers to enhance chemical production efficiency and environmental performance at Chemours."
